index,title,original_language,release_date,popularity,vote_average,vote_count
0,Spider-Man: Across the Spider-Verse,en,31-05-2023,3368.627,8.5,3386
1,Transformers: Rise of the Beasts,en,06-06-2023,2160.316,7.5,2747
2,The Flash,en,13-06-2023,2108.713,7,2305
3,No Hard Feelings,en,15-06-2023,1978.358,7.1,562
4,Barbie,en,19-07-2023,1976.513,7.5,3013
5,Meg 2: The Trench,en,02-08-2023,1730.76,7,446
6,Elemental,en,14-06-2023,1711.569,7.7,877
7,The Flood,en,14-07-2023,1700.342,6.8,115
8,Insidious: The Red Door,en,05-07-2023,1601.636,6.9,846
9,Soulcatcher,pl,02-08-2023,1585.721,6.5,100
10,Zom 100: Bucket List of the Dead,ja,03-08-2023,1369.019,6.6,194
11,Hidden Strike,en,06-07-2023,1365.563,7.1,545
12,The Little Mermaid,en,18-05-2023,1268.064,6.5,1598
13,Fast X,en,17-05-2023,1248.845,7.3,3338
14,Resident Evil: Death Island,ja,22-06-2023,1056.505,7.7,535
15,Guardians of the Galaxy Vol. 3,en,03-05-2023,1040.386,8.1,4292
16,River Wild,en,01-08-2023,986.412,6.5,57
17,Head to Head,ar,03-08-2023,975.929,6.9,40
18,Fear the Night,en,21-07-2023,894.241,6.7,91
19,Shin Kamen Rider,ja,17-03-2023,864.834,7.2,152
20,"Miraculous: Ladybug & Cat Noir, The Movie",fr,05-07-2023,843.798,7.9,459
21,Justice League: Warworld,en,25-07-2023,836.395,7.4,139
22,"Ruby Gillman, Teenage Kraken",en,28-06-2023,821.236,7.6,527
23,Oppenheimer,en,19-07-2023,810.697,8.3,1929
24,Mavka: The Forest Song,uk,02-03-2023,715.241,7.4,307
25,John Wick: Chapter 4,en,22-03-2023,714.255,7.8,4149
26,Kingdom 3: The Flame of Fate,ja,28-07-2023,711.472,8.2,37
27,The Super Mario Bros. Movie,en,05-04-2023,699.22,7.8,6232
28,Warhorse One,en,30-06-2023,695.525,7.3,156
29,Heart of Stone,en,09-08-2023,674.892,7.1,394
30,Astonishing Tales of Terror: Rocktapussy!,en,27-09-2022,659.016,6,5
31,The Seven Deadly Sins: Grudge of Edinburgh Part 2,ja,08-08-2023,637.917,8.6,33
32,"Red, White & Royal Blue",en,27-07-2023,603.792,8.4,361
33,Knights of the Zodiac,en,27-04-2023,596.191,6.7,736
34,The Venture Bros.: Radiant Is the Blood of the Baboon Heart,en,21-07-2023,584.016,7.1,39
35,Talk to Me,en,26-07-2023,575.662,7,157
36,The Outwaters,en,09-02-2023,568.224,4.6,31
37,La Leyenda de los Chaneques,es,14-07-2023,495.16,8.5,153
38,Sound of Freedom,en,03-07-2023,477.901,8.2,361
39,What the Waters Left Behind: Scars,es,27-04-2023,474.006,6,1
40,Mission: Impossible - Dead Reckoning Part One,en,08-07-2023,466.303,7.8,986
41,The Meg,en,09-08-2018,452.712,6.2,6799
42,Avatar: The Way of Water,en,14-12-2022,433.483,7.7,9472
43,The Gates,en,18-11-2022,424.286,7.5,10
44,Jericho Ridge,en,14-07-2023,423.445,7,3
45,San Andreas,en,27-05-2015,418.772,6.2,7931
46,My Fault,es,08-06-2023,418.604,8.2,1462
47,One Piece Film Red,ja,06-08-2022,407.229,7.4,622
48,Puss in Boots: The Last Wish,en,07-12-2022,391.677,8.3,6163
49,Extraction 2,en,09-06-2023,378.036,7.5,1625
50,Older Gods,en,01-03-2023,368.285,5.1,14
51,Zoey 102,en,27-07-2023,363.292,7.1,93
52,Hypnotic,en,11-05-2023,354.435,6.5,395
53,The Darkest Minds,en,25-07-2018,332.832,7,2563
54,Guy Ritchie's The Covenant,en,19-04-2023,332.432,7.8,1395
55,War of the Worlds: The Attack,en,21-04-2023,315.586,5.3,88
56,Los Habitantes,es,27-04-2023,313.414,6.9,46
57,The Pope's Exorcist,en,05-04-2023,309.912,7.2,1768
58,Fresh,en,03-03-2022,309.043,7,1234
59,Shadow Master,en,03-11-2022,305.277,6.9,73
60,Mr. Car and the Knights Templar,pl,12-07-2023,303.482,6.4,96
61,The Black Demon,en,26-04-2023,298.443,6.3,429
62,Ant-Man and the Wasp: Quantumania,en,15-02-2023,297.577,6.5,3777
63,Blue Beetle,en,16-08-2023,293.033,7.5,21
64,Sisu,fi,27-01-2023,288.236,7.5,1171
65,The Out-Laws,en,07-07-2023,286.419,6.2,421
66,American Girl: Corinne Tan,en,28-07-2023,284.553,6.5,4
67,Evil Dead Rise,en,12-04-2023,283.875,7,2114
68,Confidential Informant,en,27-06-2023,282.524,6.5,82
69,Mortal Kombat Legends: Scorpion's Revenge,en,12-04-2020,275.392,8.2,1265
70,Megalodon,en,10-08-2018,272.23,5.7,254
71,The Conjuring: The Devil Made Me Do It,en,25-05-2021,266.863,7.5,5296
72,God Is a Bullet,en,22-06-2023,254.88,6.4,85
73,Indiana Jones and the Dial of Destiny,en,28-06-2023,248.864,6.6,940
74,Insidious: The Last Key,en,03-01-2018,247.844,6.3,2623
75,Bite Night,en,12-01-2022,241.922,8,3
76,Shazam! Fury of the Gods,en,15-03-2023,239.926,6.7,2260
77,Oink,nl,01-07-2022,239.632,7.8,22
78,Mortal Kombat Legends: Battle of the Realms,en,31-08-2021,236.342,7.7,380
79,A Good Day to Die Hard,en,06-02-2013,236.091,5.3,5995
80,Creed III,en,01-03-2023,233.985,7.2,1882
81,Spider-Man: No Way Home,en,15-12-2021,232.469,8,18030
82,Sheroes,en,23-06-2023,231.636,6.4,89
83,Encanto,en,13-10-2021,230.427,7.6,8479
84,Bird Box Barcelona,es,14-07-2023,227.216,6.1,418
85,The Wrath of Becky,en,26-05-2023,225.934,6.7,118
86,Teenage Mutant Ninja Turtles: Mutant Mayhem,en,31-07-2023,225.435,7.4,171
87,Quicksand,en,31-08-2023,225.156,0,0
88,Bad City,ja,05-07-2022,223.275,6.7,41
89,Black Panther: Wakanda Forever,en,09-11-2022,221.774,7.2,5295
90,GANTZ:O,ja,14-10-2016,217.417,7.3,673
91,Scream VI,en,08-03-2023,214.651,7.2,1614
92,Coraline,en,05-02-2009,212.652,7.8,6806
93,Cold Eyes,ko,03-07-2013,210.065,7.5,295
94,Forrest Gump,en,23-06-1994,209.853,8.5,25159
95,Black Adam,en,19-10-2022,208.402,7,5335
96,Little Bone Lodge,en,11-03-2023,204.109,7.4,163
97,My House,en,07-03-2023,203.283,5.6,21
98,Eradication,en,15-07-2022,201.085,6.5,101
99,Suzume,ja,11-11-2022,200.524,7.8,566
100,Eradication,en,15-07-2022,201.085,6.5,101
101,Suzume,ja,11-11-2022,200.524,7.8,566
102,Deep Sea,zh,22-01-2023,192.768,7.3,47
103,Gran Turismo,en,09-08-2023,197.718,7.2,77
104,Youthful Older Sister,ko,15-03-2018,189.379,0,0
105,Ghosted,en,18-04-2023,188.775,7.1,1197
106,Black Clover: Sword of the Wizard King,ja,16-06-2023,187.207,8.3,177
107,Avengers: Infinity War,en,25-04-2018,187.191,8.3,27462
108,The Last Voyage of the Demeter,en,09-08-2023,187.129,7.8,34
109,El hotel de los líos. García y García 2,es,24-03-2023,186.861,4.9,14
110,M3GAN,en,28-12-2022,186.452,7.3,3012
111,The Lorax,en,01-03-2012,185.143,6.5,3146
112,Spider-Man: Into the Spider-Verse,en,06-12-2018,184.789,8.4,13769
113,Top Gun: Maverick,en,24-05-2022,183.306,8.3,7321
114,Plane,en,12-01-2023,183.077,7,1617
115,Insta Gay,en,28-05-2023,182.353,0,0
116,The First Slam Dunk,ja,03-12-2022,176.172,7.8,167
117,Little Nicholas: Happy As Can Be,fr,12-10-2022,181.149,6.5,59
118,Garfield,en,10-06-2004,180.269,5.7,3578
119,Sex and Zen II,cn,09-05-1996,178.809,5.9,25
120,The First Slam Dunk,ja,03-12-2022,176.172,7.8,167
121,Cobweb,en,19-07-2023,175.948,6.8,120
122,Kandahar,en,25-05-2023,174.677,6.6,333
123,Coco,en,27-10-2017,167.981,8.2,17509
124,Titanic,en,18-11-1997,167.544,7.9,23421
125,Bed Rest,en,08-12-2022,166.956,6.6,125
126,Detective vs. Sleuths,cn,08-07-2022,166.923,6.7,49
127,Detective Conan: Black Iron Submarine,ja,14-04-2023,165.415,6.4,26
128,Scooby-Doo! The Mystery Begins,en,12-09-2009,164.627,6.4,633
129,Sword Art Online the Movie -Progressive- Scherzo of Deep Night,ja,22-10-2022,164.557,7.6,119
130,Jurassic World Dominion,en,01-06-2022,163.726,6.8,5083
131,PAW Patrol: The Movie,en,09-08-2021,163.12,7.4,1134
132,Run Rabbit Run,en,19-01-2023,162.082,5.4,146
133,Cocaine Bear,en,22-02-2023,158.422,6.2,1331
134,It,en,06-09-2017,155.33,7.2,17896
135,Harry Potter and the Philosopher's Stone,en,16-11-2001,154.156,7.9,25172
136,Prey,en,02-08-2022,152.726,7.8,5712
137,Sonic the Hedgehog 2,en,08-04-2022,152.677,7.6,4126
138,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",en,07-12-2005,152.529,7.1,9715
139,Paradise,de,24-06-2023,152.363,6.8,239
140,Flamin' Hot,en,11-03-2023,151.724,8.2,350
141,To Catch a Killer,en,06-04-2023,151.404,7,414
142,Accident Man: Hitman's Holiday,en,14-10-2022,149.844,6.5,106
143,Thor: Love and Thunder,en,06-07-2022,149.567,6.5,6334
144,Harry Potter and the Half-Blood Prince,en,07-07-2009,149.09,7.7,17977
145,Interstellar,en,05-11-2014,148.76,8.4,32159
146,Nimona,en,23-06-2023,147.928,7.9,421
147,Turning Red,en,10-03-2022,147.462,7.4,4371
148,The Mother,en,04-05-2023,146.978,6.8,940
149,The Equalizer,en,24-09-2014,146.181,7.2,7975
150,Los bastardos,es,30-03-2023,145.245,6.1,15
151,Little Man,en,31-08-2006,145.086,5.9,1529
152,Sniper: The White Raven,uk,03-05-2022,144.671,7.6,435
153,Fall,en,11-08-2022,144.301,7.3,3112
154,Project Wolf Hunting,ko,21-09-2022,144.173,6.4,224
155,The Wandering Earth II,zh,22-01-2023,143.066,7.2,316
156,Aged,en,15-06-2023,141.808,0,0
157,The Mount 2,en,12-05-2023,141.549,5.5,16
158,Ambush,en,24-02-2023,140.841,5.6,24
159,Through My Window: Across the Sea,es,23-06-2023,139.543,6.6,476
160,Teenage Mutant Ninja Turtles,en,07-08-2014,139.092,5.9,6339
